Date,Open,High,Low,Close,Adj Close,Volume
2002-11-01,36.634964,37.716648,36.549568,37.688183,19.695948,1343175
2002-11-04,37.858974,38.115166,36.748825,37.005013,19.338926,1773311
2002-11-05,37.005013,37.844742,36.862686,37.588554,19.643887,1472314
2002-11-06,38.428284,39.495735,37.858974,39.424572,20.603390,3084377
2002-11-07,39.139919,39.353409,37.431995,37.716648,19.710833,1600891
2002-11-08,37.787811,38.613308,36.905384,37.759346,19.733143,2570490
2002-11-11,37.431995,37.844742,36.008724,36.250683,18.944706,1231460
2002-11-12,36.151051,38.200562,36.151051,37.232738,19.457933,2819915
2002-11-13,37.190041,38.143627,36.592266,37.716648,19.710833,2388444
2002-11-14,38.001301,39.638062,38.001301,39.638062,20.714968,2002853
2002-11-15,38.812565,39.495735,38.556377,39.139919,20.454639,1735722
2002-11-18,39.139919,39.296478,38.456749,38.684471,20.216616,1306780
2002-11-19,38.570610,39.737690,38.285957,39.339176,20.558765,1243334
2002-11-20,38.784100,40.065044,38.656006,39.993881,20.900913,1848841
2002-11-21,40.065044,41.730270,39.595364,41.730270,21.808355,2539083
2002-11-22,41.630638,42.384972,40.634350,41.246357,21.555466,2157005
2002-11-25,41.061333,42.513065,40.847843,42.513065,22.217440,1785888
2002-11-26,41.986458,42.797722,41.630638,42.427670,22.172821,3261785
2002-11-27,42.441902,43.836708,42.342274,43.836708,22.909185,1650776
2002-11-29,44.832996,45.829285,44.591042,45.402306,23.727369,2288112
2002-12-02,45.800819,45.843517,43.096607,43.381264,22.671165,2367014
2002-12-03,42.712326,43.466660,42.555763,42.584232,22.254639,1885799
2002-12-04,41.972225,43.238934,41.417149,42.484604,22.202572,1671082
2002-12-05,42.342274,42.641163,41.844131,41.844131,21.867859,1075341
2002-12-06,41.488312,42.399204,41.345985,42.342274,22.128189,1229563
2002-12-09,41.630638,42.271111,41.402916,41.602177,21.741417,1711552
2002-12-10,41.559479,41.915295,41.374451,41.872597,21.882738,1396713
2002-12-11,41.630638,43.708614,41.488312,43.281631,22.619097,2471211
2002-12-12,43.409725,43.409725,41.488312,41.488312,21.681911,2488987
2002-12-13,40.919006,42.128784,40.719749,41.345985,21.607523,3282161
2002-12-16,41.260590,43.253166,40.904774,43.210468,22.581902,3078615
2002-12-17,42.698093,42.868885,42.342274,42.484604,22.202572,3723890
2002-12-18,42.014923,42.683861,41.787201,42.000690,21.949673,3345887
2002-12-19,41.701805,42.342274,41.445614,41.616405,21.748844,2296613
2002-12-20,42.555763,42.570000,41.986458,42.555763,22.239756,3290311
2002-12-23,42.199947,42.527302,41.787201,42.214180,22.061247,1925636
2002-12-24,42.527302,42.769257,42.427670,42.683861,22.306707,729869
2002-12-26,42.840420,43.623219,42.783489,42.982746,22.462902,1276005
2002-12-27,42.498837,42.641163,41.417149,41.431381,21.895025,1162745
2002-12-30,41.630638,41.972225,41.089798,41.929527,22.158283,1232163
2002-12-31,41.844131,42.370739,41.431381,42.271111,22.338802,1123680
2003-01-02,42.626930,43.523590,42.000690,43.352798,22.910435,1636022
2003-01-03,43.096607,43.238934,42.399204,43.196236,22.827698,1945801
2003-01-06,43.196236,43.964802,43.053909,43.964802,23.233858,2541753
2003-01-07,43.865173,44.263687,43.608986,43.893639,23.196247,2183493
2003-01-08,43.907871,43.907871,43.053909,43.153538,22.805119,1797621
2003-01-09,43.153538,43.950569,42.982746,43.552055,23.015726,1998356
2003-01-10,43.552055,43.964802,42.769257,43.680149,23.083426,1621829
2003-01-13,43.836708,44.334854,43.552055,43.836708,23.166151,2071708
2003-01-14,44.192528,44.220989,43.637451,44.220989,23.369244,1491425
2003-01-15,43.836708,44.007500,43.466660,43.765545,23.128555,2060678
2003-01-16,43.765545,44.548344,43.751312,44.334854,23.429415,1479621
2003-01-17,43.979034,44.448715,43.765545,43.779778,23.136076,1784623
2003-01-21,44.050198,44.121361,43.338566,43.509357,22.993168,1990698
2003-01-22,43.295864,43.708614,42.925816,43.053909,22.752480,2144077
2003-01-23,43.196236,43.552055,42.897350,43.338566,22.902908,1733684
2003-01-24,43.267399,43.338566,41.772968,41.986458,22.188374,1642486
